###,Series metadata
written by,Pyleoclim 1.0.0b0
time_unit,kyr BP
time_name,Age
value_unit,ppm
value_name,$CO_2$
label,EPICA Dome C CO2
lat,
lon,
archiveType,
importedFrom,
log,"({0: 'clean_ts', 'applied': True, 'verbose': False},)"
###,end metadata
Age [kyr BP],$CO_2$ [ppm]
-0.05103,368.02
-0.048,361.78
-0.04628,359.65
-0.04441,357.11
-0.04308,353.95
-0.04231,353.72
-0.04113,352.42
-0.03997,350.81
-0.039409999999999994,349.8
-0.03897,349.28
-0.03807,347.6
-0.03721,345.44
-0.03662,344.72
-0.03614,343.97
-0.03576,343.11
-0.03492,342.05
-0.03308,341.33
-0.033030000000000004,339.46
-0.02914,334.85
-0.0268,335.55
-0.026670000000000003,332.37
-0.02557,332.37
-0.02413,331.55
-0.02209,328.42
-0.02204,330.35
-0.02087,326.31
-0.02066,326.65
-0.020640000000000002,324.91
-0.02022,324.56
-0.019420000000000003,324.71
-0.01898,325.08
-0.01881,324.09
-0.018539999999999997,320.38
-0.01679,320.49
-0.016550000000000002,322.17
-0.01587,320.98
-0.015300000000000001,319.2
-0.01523,319.89
-0.013560000000000001,319.12
-0.0132,319.07
-0.01262,318.61
-0.012539999999999999,317.45
-0.0124,319.14
-0.012320000000000001,317.52
-0.011720000000000001,316.59
-0.01057,318.21
-0.01031,313.09
-0.009089999999999999,311.98
-0.00856,316.33
-0.0081,316.1
-0.00787,314.57
-0.00726,315.27
-0.0072,316.33
-0.0070999999999999995,314.44
-0.0061600000000000005,315.34
-0.0048,314.71
-0.00379,313.17
-0.0037099999999999998,312.8
-0.0035600000000000002,312.22
-0.0023799999999999997,312.18
-0.00025,312.0
0.00033,313.66
0.00123,309.69
0.00229,311.57
0.0033399999999999997,310.36
0.00337,312.87
0.00438,312.56
0.00444,311.97
0.00461,311.81
0.00504,310.44
0.00524,311.28
0.00549,310.22
0.00643,312.36
0.00779,311.88
0.00796,312.84
0.00822,312.39
0.00916,311.8
0.00925,307.74
0.010029999999999999,309.8
0.01041,310.95
0.01078,311.21
0.01103,310.46
0.01184,308.48
0.011869999999999999,311.94
0.01213,311.52
0.012230000000000001,312.33
0.01314,307.41
0.01413,309.34
0.014289999999999999,307.26
0.01494,306.32
0.016120000000000002,309.63
0.01641,307.08
0.01722,305.94
0.01746,308.28
0.01771,308.26
0.019170000000000003,305.74
0.02061,305.38
0.02126,305.78
0.02146,305.71
0.02184,305.67
0.0222,308.02
0.02469,304.97
0.02525,304.72
0.02716,306.2
0.027489999999999997,303.18
0.030289999999999997,301.88
0.03133,304.61
0.032130000000000006,303.85
0.034210000000000004,301.92
0.03561,300.7
0.03748,301.3
0.03871,299.26
0.0389,297.73
0.03928,298.11
0.040240000000000005,297.87
0.041479999999999996,301.5
0.04423,299.63
0.04446,297.33
0.044649999999999995,299.02
0.046090000000000006,295.99
0.048299999999999996,295.61
0.04982,294.22
0.05106,297.05
0.051340000000000004,295.28
0.056240000000000005,293.81
0.05634,293.17
