Age,Deuterium,Temperature
38.37379,-390.9,0.88
46.81203,-385.1,1.84
55.05624,-377.8,3.04
64.41511,-394.1,0.35
73.15077,-398.7,-0.42
81.93244,-395.9,0.05
90.75925,-395.9,0.05
99.97031,-399.3,-0.52
109.88879,-391.4,0.79
119.25888,-399.5,-0.55
129.40378,-402.9,-1.11
139.93889,-393.9,0.38
150.10205,-398.6,-0.4
160.58005,-389.8,1.05
171.01834,-394.5,0.28
181.44466,-400.5,-0.72
191.48283,-403.6,-1.23
201.87233,-393.1,0.51
212.18626,-410.9,-2.44
223.16292,-393.6,0.42
233.73909,-391.1,0.84
244.64073,-391.9,0.71
255.49973,-396.3,-0.02
266.61209,-397,-0.14
277.77097,-404.7,-1.41
289.25006,-398.2,-0.34
301.04303,-395.2,0.16
312.44177,-403.5,-1.22
323.85452,-398.6,-0.41
335.57825,-399.7,-0.59
346.88129,-396,0.03
358.50821,-400.2,-0.67
370.90112,-401.6,-0.9
382.87436,-405.4,-1.53
395.18558,-399,-0.47
407.46558,-396.9,-0.12
418.75491,-394.9,0.21
430.39774,-406.6,-1.73
442.40918,-395.2,0.16
454.09915,-395.3,0.14
466.12518,-399.5,-0.56
478.21433,-401,-0.8
490.39719,-393.6,0.42
503.05731,-410.4,-2.36
515.651,-401.3,-0.85
528.76422,-398.3,-0.36
541.60858,-388.5,1.26
554.93121,-391.9,0.7
567.75421,-400.8,-0.77
580.59985,-387.7,1.4
593.51135,-401.4,-0.87
606.47388,-401,-0.81
619.46606,-387.3,1.46
632.04871,-390.2,0.98
644.98712,-394.5,0.27
658.25757,-401.9,-0.96
672.12836,-399.8,-0.61
686.65106,-399.9,-0.63
700.67932,-399.1,-0.49
715.02704,-401.9,-0.96
729.27771,-404.8,-1.44
744.23865,-401.6,-0.91
758.74341,-396.7,-0.1
772.40747,-397.1,-0.16
785.83618,-394.2,0.32
798.90051,-395.9,0.03
812.30737,-392.7,0.56
824.81067,-390.4,0.94
837.10004,-389,1.17
849.37903,-387,1.5
861.96991,-402.3,-1.03
875.36835,-392.5,0.59
889.09241,-404.6,-1.41
903.1662,-390.5,0.92
917.33173,-402.3,-1.03
931.97516,-400.1,-0.67
946.98193,-399.4,-0.55
961.22705,-400.6,-0.75
975.76489,-393.8,0.38
990.15808,-398.5,-0.4
1004.54004,-398.7,-0.44
1018.7851,-401.8,-0.95
1032.38147,-395.2,0.14
1046.66455,-390.1,0.99
1060.58911,-393.9,0.36
1074.79602,-400.6,-0.75
1089.0769,-400.9,-0.8
1103.7052,-391.7,0.72
1118.15979,-399.3,-0.54
1132.65186,-386.7,1.55
1146.79089,-401.5,-0.9
1160.92249,-398.1,-0.34
1174.39355,-390.4,0.93
1188.11206,-389.8,1.03
