YEAR,MON/MMM,Dec year,NINO34_MEAN,NINO34_CLIM,NINO34_ANOM,ONI,PHASE
1871,1,1871.00,25.46,25.9,-0.45,NaN,M
1871,2,1871.08,25.59,26.03,-0.45,-0.26,N
1871,3,1871.17,26.66,26.55,0.11,0.08,N
1871,4,1871.25,27.57,26.99,0.58,0.31,N
1871,5,1871.33,27.4,27.16,0.24,0.36,N
1871,6,1871.42,27.17,26.93,0.24,0.26,N
1871,7,1871.50,26.86,26.57,0.29,0.36,N
1871,8,1871.58,26.69,26.13,0.56,0.49,N
1871,9,1871.67,26.65,26.03,0.62,0.52,E
1871,10,1871.75,26.24,25.85,0.39,0.4,N
1871,11,1871.83,26.12,25.93,0.19,0.23,N
1871,12,1871.92,25.96,25.87,0.09,-0.02,N
1872,1,1872.00,25.56,25.9,-0.35,-0.22,N
1872,2,1872.08,25.61,26.03,-0.42,-0.43,N
1872,3,1872.17,26.03,26.55,-0.52,-0.47,N
1872,4,1872.25,26.52,26.99,-0.47,-0.46,N
1872,5,1872.33,26.77,27.16,-0.38,-0.45,N
1872,6,1872.42,26.44,26.93,-0.49,-0.06,N
1872,7,1872.50,27.25,26.57,0.68,-0.14,N
1872,8,1872.58,25.52,26.13,-0.62,-0.12,N
1872,9,1872.67,25.61,26.03,-0.43,-0.66,L
1872,10,1872.75,24.92,25.85,-0.93,-0.74,L
1872,11,1872.83,25.05,25.93,-0.88,-0.88,L
1872,12,1872.92,25.04,25.87,-0.83,-0.86,L
1873,1,1873.00,25.02,25.9,-0.88,-0.91,L
1873,2,1873.08,25.01,26.03,-1.02,-0.94,L
1873,3,1873.17,25.64,26.55,-0.91,-0.82,L
1873,4,1873.25,26.46,26.99,-0.53,-0.59,L
1873,5,1873.33,26.82,27.16,-0.34,-0.27,N
1873,6,1873.42,27,26.93,0.07,0.01,N
1873,7,1873.50,26.86,26.57,0.29,0.31,N
1873,8,1873.58,26.71,26.13,0.58,0.45,N
1873,9,1873.67,26.52,26.03,0.49,0.29,N
1873,10,1873.75,25.64,25.85,-0.21,0,N
1873,11,1873.83,25.64,25.93,-0.29,-0.27,N
1873,12,1873.92,25.55,25.87,-0.31,-0.47,N
1874,1,1874.00,25.08,25.9,-0.82,-0.74,L
1874,2,1874.08,24.96,26.03,-1.08,-0.98,L
1874,3,1874.17,25.51,26.55,-1.04,-0.99,L
1874,4,1874.25,26.15,26.99,-0.84,-0.88,L
1874,5,1874.33,26.41,27.16,-0.75,-0.71,L
1874,6,1874.42,26.38,26.93,-0.55,-0.68,L
1874,7,1874.50,25.83,26.57,-0.74,-0.62,L
1874,8,1874.58,25.57,26.13,-0.56,-0.64,L
1874,9,1874.67,25.4,26.03,-0.63,-0.57,L
1874,10,1874.75,25.34,25.85,-0.52,-0.67,L
1874,11,1874.83,25.05,25.93,-0.88,-0.69,L
1874,12,1874.92,25.18,25.87,-0.69,-0.59,L
1875,1,1875.00,25.69,25.9,-0.22,-0.38,N
1875,2,1875.08,25.79,26.03,-0.24,-0.17,N
1875,3,1875.17,26.48,26.55,-0.07,-0.17,N
1875,4,1875.25,26.78,26.99,-0.21,-0.16,N
1875,5,1875.33,26.95,27.16,-0.2,-0.26,N
1875,6,1875.42,26.57,26.93,-0.36,-0.27,N
1875,7,1875.50,26.34,26.57,-0.23,-0.3,N
1875,8,1875.58,25.83,26.13,-0.3,-0.3,N
1875,9,1875.67,25.68,26.03,-0.35,-0.38,N
1875,10,1875.75,25.37,25.85,-0.49,-0.41,N
1875,11,1875.83,25.54,25.93,-0.38,-0.38,N
1875,12,1875.92,25.59,25.87,-0.27,-0.25,N
1876,1,1876.00,25.84,25.93,-0.08,-0.28,N
1876,2,1876.08,25.59,26.06,-0.47,-0.4,N
1876,3,1876.17,25.92,26.57,-0.64,-0.74,L
1876,4,1876.25,25.96,27.05,-1.1,-0.87,L
1876,5,1876.33,26.3,27.18,-0.88,-0.64,L
1876,6,1876.42,26.93,26.88,0.05,-0.07,N
1876,7,1876.50,27.1,26.49,0.61,0.34,N
1876,8,1876.58,26.47,26.11,0.37,0.39,N
1876,9,1876.67,26.25,26.06,0.19,0.44,N
1876,10,1876.75,26.65,25.9,0.75,0.55,E
1876,11,1876.83,26.69,25.98,0.71,0.78,E
1876,12,1876.92,26.86,25.98,0.89,0.9,E
1877,1,1877.00,27.03,25.93,1.11,1.04,E
1877,2,1877.08,27.17,26.06,1.12,1.22,E
1877,3,1877.17,27.99,26.57,1.42,1.25,E
1877,4,1877.25,28.28,27.05,1.22,1.2,E
1877,5,1877.33,28.14,27.18,0.96,1.08,E
1877,6,1877.42,27.94,26.88,1.06,1.25,E
1877,7,1877.50,28.22,26.49,1.73,1.81,E
1877,8,1877.58,28.74,26.11,2.63,2.34,E
1877,9,1877.67,28.72,26.06,2.66,2.73,E
1877,10,1877.75,28.79,25.9,2.89,2.89,E
1877,11,1877.83,29.11,25.98,3.13,3.01,E
1877,12,1877.92,29,25.98,3.03,3.07,E
1878,1,1878.00,28.98,25.93,3.05,3.11,E
1878,2,1878.08,29.3,26.06,3.24,2.61,E
1878,3,1878.17,28.11,26.57,1.54,2.22,E
