Southern Oscillation Index (SOI),,
Date,Year,Value
195101,1951,1.5
195102,1951.083333,0.9
195103,1951.166667,-0.1
195104,1951.25,-0.3
195105,1951.333333,-0.7
195106,1951.416667,0.2
195107,1951.5,-1
195108,1951.583333,-0.2
195109,1951.666667,-1.1
195110,1951.75,-1
195111,1951.833333,-0.8
195112,1951.916667,-0.7
195201,1952,-0.9
195202,1952.083333,-0.6
195203,1952.166667,0.5
195204,1952.25,-0.2
195205,1952.333333,0.8
195206,1952.416667,0.7
195207,1952.5,0.5
195208,1952.583333,0.1
195209,1952.666667,-0.2
195210,1952.75,0.4
195211,1952.833333,0
195212,1952.916667,-1.2
195301,1953,0.3
195302,1953.083333,-0.5
195303,1953.166667,-0.2
195304,1953.25,0.2
195305,1953.333333,-1.7
195306,1953.416667,0.1
195307,1953.5,0
195308,1953.583333,-1.2
195309,1953.666667,-1.2
195310,1953.75,0.1
195311,1953.833333,-0.3
195312,1953.916667,-0.5
195401,1954,0.7
195402,1954.083333,-0.3
195403,1954.166667,0.3
195404,1954.25,0.6
195405,1954.333333,0.5
195406,1954.416667,0.1
195407,1954.5,0.4
195408,1954.583333,1.1
195409,1954.666667,0.2
195410,1954.75,0.3
195411,1954.833333,0.1
195412,1954.916667,1.4
195501,1955,-0.5
195502,1955.083333,1.9
195503,1955.166667,0.6
195504,1955.25,-0.1
195505,1955.333333,1
195506,1955.416667,1.3
195507,1955.5,1.6
195508,1955.583333,1.5
195509,1955.666667,1.3
195510,1955.75,1.5
195511,1955.833333,1.2
195512,1955.916667,1
195601,1956,1.3
195602,1956.083333,1.6
195603,1956.166667,1.3
195604,1956.25,0.9
195605,1956.333333,1.4
195606,1956.416667,1.1
195607,1956.5,1.1
195608,1956.583333,1.2
195609,1956.666667,0.1
195610,1956.75,1.8
195611,1956.833333,0.2
195612,1956.916667,1.1
195701,1957,0.6
195702,1957.083333,-0.1
195703,1957.166667,0.2
195704,1957.25,0.2
195705,1957.333333,-0.7
195706,1957.416667,0.2
195707,1957.5,0.2
195708,1957.583333,-0.5
195709,1957.666667,-0.9
195710,1957.75,0
195711,1957.833333,-1
195712,1957.916667,-0.3
195801,1958,-1.9
195802,1958.083333,-0.5
195803,1958.166667,0.3
195804,1958.25,0.4
195805,1958.333333,-0.5
195806,1958.416667,0.3
195807,1958.5,0.4
195808,1958.583333,0.9
195809,1958.666667,-0.3
195810,1958.75,0.1
195811,1958.833333,-0.4
195812,1958.916667,-0.6
195901,1959,-0.9
195902,1959.083333,-1.4
195903,1959.166667,1.3
195904,1959.25,0.4
195905,1959.333333,0.5
195906,1959.416667,-0.1
195907,1959.5,-0.3
195908,1959.583333,-0.1
195909,1959.666667,0
195910,1959.75,0.5
195911,1959.833333,0.9
195912,1959.916667,0.9
196001,1960,0.1
196002,1960.083333,0.1
196003,1960.166667,1
196004,1960.25,0.8
196005,1960.333333,0.5
196006,1960.416667,0.1
196007,1960.5,0.5
196008,1960.583333,0.8
196009,1960.666667,0.7
196010,1960.75,0.1
196011,1960.833333,0.5
196012,1960.916667,0.8
196101,1961,-0.3
196102,1961.083333,0.9
196103,1961.166667,-1.8
196104,1961.25,0.8
196105,1961.333333,0.3
196106,1961.416667,0.1
