Period,Epoch,Stage,UpperBoundary,LowerBoundary,Average,Rperiod,Gperiod,Bperiod,Repoch,Gepoch,Bepoch,Rstage,Gstage,Bstage,Period_Abbrev,Epoch_Abbrev,Stage_Abbrev,Period_Color,Epoch_Color,Stage_Color
Quaternary,Holocene,Holocene,0.0,0.0117,0.00585,0.976470588235294,0.976470588235294,0.498039215686275,0.996078431372549,0.949019607843137,0.87843137254902,0.996078431372549,0.949019607843137,0.87843137254902,Q,H,,#f8f87f,#fef1e0,#fef1e0
Quaternary,Pleistocene,Upper Pleistocene,0.0117,0.129,0.07035,0.976470588235294,0.976470588235294,0.498039215686275,1.0,0.949019607843137,0.682352941176471,1.0,0.949019607843137,0.827450980392157,Q,P,,#f8f87f,#fff1ae,#fff1d3
Quaternary,Pleistocene,Chibanian,0.129,0.774,0.4515,0.976470588235294,0.976470588235294,0.498039215686275,1.0,0.949019607843137,0.682352941176471,1.0,0.949019607843137,0.780392156862745,Q,P,,#f8f87f,#fff1ae,#fff1c6
Quaternary,Pleistocene,Calabrian,0.774,1.8,1.287,0.976470588235294,0.976470588235294,0.498039215686275,1.0,0.949019607843137,0.682352941176471,1.0,0.949019607843137,0.729411764705882,Q,P,,#f8f87f,#fff1ae,#fff1b9
Quaternary,Pleistocene,Gelasian,1.8,2.58,2.19,0.976470588235294,0.976470588235294,0.498039215686275,1.0,0.949019607843137,0.682352941176471,1.0,0.929411764705882,0.701960784313725,Q,P,,#f8f87f,#fff1ae,#ffecb2
Neogene,Pliocene,Piacenzian,2.58,3.6,3.09,1.0,0.901960784313726,0.0980392156862745,1.0,1.0,0.6,1.0,1.0,0.749019607843137,N,Pli,,#ffe618,#ffff99,#ffffbe
Neogene,Pliocene,Zanclean,3.6,5.33,4.465,1.0,0.901960784313726,0.0980392156862745,1.0,1.0,0.6,1.0,1.0,0.701960784313725,N,Pli,,#ffe618,#ffff99,#ffffb2
Neogene,Miocene,Messinian,5.33,7.25,6.29,1.0,0.901960784313726,0.0980392156862745,1.0,1.0,0.0,1.0,1.0,0.450980392156863,N,M,,#ffe618,#ffff00,#ffff73
Neogene,Miocene,Tortonian,7.25,11.63,9.44,1.0,0.901960784313726,0.0980392156862745,1.0,1.0,0.0,1.0,1.0,0.4,N,M,,#ffe618,#ffff00,#ffff66
Neogene,Miocene,Serravallian,11.63,13.82,12.725,1.0,0.901960784313726,0.0980392156862745,1.0,1.0,0.0,1.0,1.0,0.349019607843137,N,M,,#ffe618,#ffff00,#ffff58
Neogene,Miocene,Langhian,13.82,15.99,14.905,1.0,0.901960784313726,0.0980392156862745,1.0,1.0,0.0,1.0,1.0,0.301960784313725,N,M,,#ffe618,#ffff00,#ffff4c
Neogene,Miocene,Burdigalian,15.99,20.45,18.22,1.0,0.901960784313726,0.0980392156862745,1.0,1.0,0.0,1.0,1.0,0.254901960784314,N,M,,#ffe618,#ffff00,#ffff41
