Tuned time [Ma],Foram bent δ13C [‰ PDB] (VPDB),Foram bent δ18O [‰ PDB] (VPDB)
0.000564,0.2,2.43
0.002689,1.43,2.48
0.003099,0.93,2.47
0.004131,-0.22,2.42
0.005134,1.23,2.61
0.005617,0.68,2.82
0.005917,1.23,2.72
0.007103,0.48,2.74
0.007579,0.72,3.14
0.008589,0.86,2.73
0.010024,0.31,3.62
0.010076,0.08,4.05
0.011553,0.28,3.73
0.012469,0.33,3.73
0.013048,-0.25,4.42
0.014006,0.31,4.29
0.014914,0.12,4.37
0.015196,0.14,4.16
0.015414,0.48,4.3
0.016821,0.27,4.26
0.017359,0.28,4.25
0.017785,0.02,4.1
0.018229,0.37,4.21
0.019636,0.32,4.13
0.019804,0.41,4.18
0.019804,0.41,4.13
0.020375,0.2,4.0
0.022249,0.36,4.03
0.022964,0.15,3.89
0.023859,0.48,3.94
0.024626,0.35,4.12
0.024969,-0.03,3.88
0.02575,0.54,3.85
0.026585,0.29,3.85
0.026585,0.3,3.85
0.026833,0.79,3.78
0.027694,0.52,3.88
0.0282,0.25,3.8
0.02904,0.72,3.94
0.029815,0.33,3.83
0.031246,0.8,3.7
0.031246,0.38,3.74
0.031431,0.31,3.75
0.031583,0.81,3.78
0.033046,0.45,3.72
0.033453,0.88,3.74
0.033528,1.0,3.76
0.034662,0.17,3.77
0.035472,0.82,3.56
0.036277,0.27,3.73
0.037892,0.54,3.7
0.037892,0.12,3.63
0.039361,0.68,3.69
0.039508,0.68,3.63
0.040074,0.55,3.69
0.041123,0.37,3.84
0.041306,0.5,3.77
0.042281,0.96,3.64
0.042738,0.76,3.63
0.04325,0.72,3.65
0.04325,0.78,3.77
0.044354,0.05,3.56
0.044487,0.51,3.36
0.045181,0.46,3.52
0.04604,0.26,3.51
0.046625,0.96,3.8
0.046758,1.02,3.7
0.047773,0.25,3.52
0.048431,0.9,3.76
0.049049,0.89,3.62
0.049507,0.69,3.67
0.050236,0.99,3.77
0.05124,-0.07,3.81
0.051339,0.6,3.45
0.052042,1.15,3.64
0.052973,0.55,3.66
0.053629,0.85,3.64
0.053629,0.84,3.58
0.053847,0.83,3.51
0.054707,0.14,3.56
0.055111,0.47,3.58
0.05592,0.35,3.65
0.05644,0.3,3.66
0.057458,0.45,3.66
0.058173,0.3,3.71
0.05821,0.19,3.58
0.059264,-0.25,3.71
0.059907,-0.04,3.76
0.0605,0.05,3.89
0.061069,0.33,4.02
0.061069,0.0,3.85
0.06164,-0.18,3.63
0.06279,0.21,3.88
0.062875,-0.06,3.88
0.063373,-0.08,3.86
0.064681,0.02,3.92
0.065081,-0.01,3.83
0.066486,0.02,3.93
0.067371,0.48,3.68
0.067371,0.54,3.69
0.069093,0.56,3.73
0.069432,0.32,3.61
0.070097,0.5,3.56
0.070827,0.18,3.8
0.070827,0.1,3.71
0.072533,1.18,3.32
0.072533,0.88,3.57
0.072683,0.4,3.43
0.073409,-0.21,3.7
0.073409,-0.69,3.76
0.0756,1.23,3.35
0.076085,0.91,3.35
0.076735,1.12,3.14
0.078667,0.62,3.28
0.078761,0.52,3.14
0.080787,1.16,3.2
0.080787,1.2,3.04
0.081438,0.83,3.03
0.081733,1.12,3.27
0.084114,0.86,3.13
0.0848,1.13,2.84
0.0848,0.86,3.18
0.08484,1.28,3.12
0.086791,0.4,3.15
0.087867,0.44,3.0
0.088892,-0.18,3.42
0.088892,0.22,3.44
0.090933,0.41,3.59
0.094,0.7,3.33
0.094,0.82,3.18
0.095583,0.55,3.5
0.095856,1.21,3.23
0.096118,1.22,3.39
0.098055,0.78,3.41
0.098236,1.17,3.1
0.100526,0.51,3.25
0.102472,1.15,3.02
0.102998,0.8,3.12
0.102998,0.62,3.13
0.102998,-0.65,3.27
0.103389,1.17,2.92
0.105516,0.89,3.01
0.105987,1.0,3.03
0.105987,0.87,3.33
0.108225,0.1,3.04
0.10874,0.42,2.98
0.109195,0.83,3.27
0.110935,0.77,3.04
0.110935,0.61,3.17
0.111493,-0.14,3.39
0.111493,0.86,3.21
0.111517,0.79,3.22
0.113645,0.22,3.3
0.113839,0.27,3.52
0.116064,0.63,3.67
0.116193,0.29,3.19
0.116957,0.82,3.47
0.118191,0.69,3.42
0.120318,0.79,3.34
0.120395,1.01,3.17
0.120963,0.53,3.49
0.122446,0.92,2.86
0.122446,1.09,3.12
0.123348,0.56,3.12
0.123521,1.05,2.98
0.123521,1.06,2.77
0.124573,0.97,2.37
0.125733,0.93,2.8
0.126646,0.45,2.48
0.1267,0.21,2.74
0.127737,0.88,2.32
0.127844,0.56,2.49
0.128822,0.86,2.26
0.128822,0.07,2.76
0.12947,0.36,2.65
0.129643,1.0,2.43
0.130746,0.26,3.19
0.130746,0.71,2.28
0.131443,0.12,2.46
0.13267,0.16,3.28
0.132935,0.18,3.9
0.133242,-0.4,3.72
0.134554,0.18,4.07
0.134668,0.57,4.23
0.135041,-0.17,4.12
0.136371,0.6,4.15
0.138188,0.31,4.11
0.14009,0.28,4.21
0.141717,0.22,4.1
0.142062,0.33,4.12
0.14289,-0.53,4.09
0.144034,0.29,4.1
0.146006,0.21,4.03
0.146006,-0.64,4.01
0.146824,-0.29,3.91
0.14715,0.11,4.02
0.147978,-0.48,3.99
0.148432,-0.43,3.87
0.148961,-0.37,3.88
0.149753,-0.06,3.83
0.150772,-0.23,4.01
0.152934,-0.09,3.78
0.153893,0.13,4.01
0.154703,-0.19,3.94
0.155865,0.8,3.81
0.156205,0.18,4.03
0.15631,-0.15,3.73
0.157837,0.65,3.82
0.158016,0.54,3.7
0.159809,0.08,4.04
0.160214,-0.03,3.76
0.161781,0.24,3.9
0.161781,0.88,3.7
0.162485,-0.09,3.82
0.164911,-0.85,3.85
0.167083,0.82,3.73
0.167336,0.24,3.67
0.168899,0.48,3.55
0.169762,-0.19,3.6
0.170714,0.53,3.54
0.172187,-0.15,3.77
0.174345,0.22,3.87
0.174613,-0.33,3.59
0.176161,0.56,3.76
0.177038,-0.24,3.61
0.179464,-0.06,3.77
0.179792,0.78,3.6
0.181889,0.04,3.82
0.181889,-0.12,3.64
0.185238,0.26,3.81
0.18674,-0.23,3.68
0.188869,0.55,3.57
0.190685,0.94,3.01
0.190685,-0.22,3.15
0.190916,0.91,3.41
0.191591,0.57,3.17
0.191591,0.28,3.44
0.193629,1.05,2.81
0.194017,0.32,3.12
0.1962,1.05,2.83
0.1962,0.51,3.12
0.196418,-0.46,3.09
0.198682,0.74,2.74
0.198682,0.61,2.9
0.198682,-0.13,3.29
0.19888,1.13,2.91
0.201169,0.02,2.8
0.201169,0.02,3.14
0.201169,0.74,2.85
0.201612,0.94,2.6
0.201813,1.04,2.6
0.203656,0.53,2.88
0.204747,0.92,2.92
0.207706,1.14,2.85
0.208382,1.01,2.89
0.210904,1.19,2.83
0.214857,0.85,3.01
0.214857,0.63,2.73
0.217298,1.04,2.65
0.217845,0.83,3.01
0.218334,0.94,2.6
0.220413,0.68,2.69
0.220637,0.07,2.76
0.220695,0.57,2.72
0.223078,0.08,3.0
0.223185,0.56,2.85
0.225675,0.38,2.88
0.225742,0.33,3.76
0.225742,0.11,3.57
0.225742,0.02,3.61
0.228165,-0.19,3.59
0.228165,0.3,3.66
0.228902,0.91,3.45
0.231083,0.93,3.6
0.233378,0.22,3.19
0.234197,0.31,3.46
0.235793,0.12,3.53
0.237348,0.67,3.54
0.238232,0.87,3.12
0.238913,-0.3,3.05
0.240829,1.0,3.01
0.241303,0.5,3.09
0.241303,-0.47,3.35
0.243105,0.25,2.6
0.243105,-0.3,2.5
0.243455,-0.1,2.75
0.243859,0.96,2.42
0.245024,0.14,3.2
0.246143,-0.04,2.83
0.246143,0.08,3.42
0.246593,-0.18,3.58
0.248427,0.36,3.61
0.250711,0.46,3.61
0.251938,0.41,3.84
0.252712,0.68,3.89
0.254163,0.29,3.88
0.255772,0.3,3.84
0.256403,0.25,3.92
0.256859,0.63,3.8
0.257718,0.84,3.98
0.257757,0.74,3.62
0.258643,0.31,3.82
0.258643,0.21,3.72
0.25928,0.67,3.8
0.260098,0.66,3.66
0.260098,0.77,3.54
0.260883,0.11,3.77
0.2617,0.73,3.63
0.261728,0.68,3.78
0.262238,0.09,3.72
0.263123,-0.17,3.71
0.263713,-0.18,3.72
0.264123,0.56,3.73
0.264856,0.67,3.71
0.265363,-0.07,3.75
0.266543,-0.25,3.66
0.267236,-0.27,3.85
0.267603,-0.01,3.74
0.267684,-0.29,3.55
0.268862,-0.25,3.86
0.268862,-0.36,3.8
0.269589,-0.36,3.75
0.269589,-0.23,3.93
0.269669,-0.41,3.87
0.269843,-0.74,4.06
0.271013,-0.24,3.83
0.273162,-0.07,3.68
0.273588,-0.68,4.0
0.273588,-0.39,3.59
0.27364,-0.3,3.76
0.274167,-0.02,3.87
0.275312,-0.04,3.77
0.277461,0.11,3.6
0.278618,-0.42,3.8
0.284576,0.97,3.39
0.284576,0.98,3.38
0.288392,0.18,3.21
0.289424,0.35,3.14
0.290867,-0.12,3.44
0.291849,0.81,2.99
0.293342,-0.02,3.45
0.293342,0.04,3.58
0.294273,0.14,3.2
0.295817,-0.05,3.39
0.296697,0.12,3.77
0.298045,0.48,3.7
0.300765,-0.03,3.41
0.301545,0.58,3.64
0.303346,1.1,3.51
0.306918,1.0,3.58
0.306918,1.14,3.15
0.309175,1.15,3.27
0.311748,0.08,3.11
0.313707,-0.14,3.73
0.316893,0.13,3.21
0.318469,0.64,2.83
0.319466,0.84,3.08
0.32085,0.68,2.89
0.322039,0.58,2.87
0.322039,0.63,2.84
0.32329,0.3,3.03
0.326281,1.21,2.46
0.32862,1.07,2.49
0.329274,1.2,2.51
0.332267,0.84,2.51
0.334689,0.69,2.15
0.335669,0.9,2.3
0.336905,-0.06,2.27
0.336905,-0.14,2.52
0.3389,-0.75,3.22
0.3389,-0.29,3.24
0.343553,0.04,3.9
0.343553,-0.21,3.77
0.345767,0.48,4.11
0.348168,-0.08,3.33
0.350591,0.64,3.73
0.350594,-0.06,4.11
0.352683,-0.33,3.67
0.353014,-0.17,3.74
0.354771,0.36,4.01
0.354771,0.4,3.73
0.355437,-0.19,3.69
0.356859,-0.14,3.67
0.356859,-0.38,3.71
0.35786,-0.1,3.82
0.361036,-0.33,3.79
0.365126,0.4,3.74
0.365213,-0.08,3.92
0.367549,0.7,3.69
0.367549,0.62,3.78
0.369971,0.63,3.58
0.372394,0.27,3.62
0.373566,0.58,3.78
0.374575,0.75,3.52
0.375655,0.32,3.66
0.376133,-0.08,3.56
0.37724,0.58,3.46
0.377743,0.75,3.41
0.378919,0.38,3.49
0.379663,0.73,3.4
0.379831,0.19,3.48
0.379831,0.58,3.4
0.382086,0.37,3.59
0.38449,0.29,3.49
0.38449,0.21,3.45
0.384506,0.9,3.13
0.386929,0.93,3.51
0.387276,0.52,3.33
0.389352,0.96,3.16
0.389352,1.03,3.26
0.390273,1.1,3.11
0.390356,0.94,3.26
0.391775,0.92,3.22
0.392361,1.06,3.24
0.394197,1.1,3.15
0.394197,0.91,3.26
0.39662,1.03,2.99
