# International Chronostratigraphic Chart (ICS)
# Constructed from the Turtle file at: https://github.com/i-c-stratigraphy/chart/blob/main/chart.ttl
# Date of last update of Turtle file: 2024-11-24
# Source: International Commission on Stratigraphy (ICS), chart.ttl (SKOS/RDF ontology)
#
# Notes:
# - Units: All boundary values are in millions of years ago (Ma).
# - Columns included: 'Type', 'Name', 'Abbrev', 'Color', 'UpperBoundary', 'LowerBoundary'.
# - Colors: official ICS chart hexadecimal colors.
# - Abbreviations: from ICS skos:notation or custom overrides.
#
Rank,Name,Abbrev,Color,UpperBoundary,LowerBoundary
Eon,Phanerozoic,PH,#9AD9DD,0.0,538.8
Eon,Proterozoic,PR,#F73563,538.8,2500.0
Eon,Archean,AR,#F0047F,2500.0,4031.0
Eon,Hadean,HA,#AE027E,4031.0,4567.0
Era,Cenozoic,CZ,#F2F91D,0.0,66.0
Era,Mesozoic,MZ,#67C5CA,66.0,251.902
Era,Paleozoic,PZ,#99C08D,251.902,538.8
Era,Neoproterozoic,NP,#FEB342,538.8,1000.0
Era,Mesoproterozoic,MP,#FDB462,1000.0,1600.0
Era,Paleoproterozoic,PP,#F74370,1600.0,2500.0
Era,Neoarchean,NA,#F99BC1,2500.0,2800.0
Era,Mesoarchean,MA,#F768A9,2800.0,3200.0
Era,Paleoarchean,PA,#F4449F,3200.0,3600.0
Era,Eoarchean,EA,#DA037F,3600.0,4031.0
Period,Quaternary,Q,#F9F97F,0.0,2.58
Period,Neogene,N,#FFE619,2.58,23.04
Period,Paleogene,E,#FD9A52,23.04,66.0
Period,Cretaceous,K,#7FC64E,66.0,143.1
Period,Jurassic,J,#34B2C9,143.1,201.4
Period,Triassic,T,#812B92,201.4,251.902
Period,Permian,P,#F04028,251.902,298.9
Period,Carboniferous,C,#67A599,298.9,358.86
Period,Devonian,D,#CB8C37,358.86,419.62
Period,Silurian,S,#B3E1B6,419.62,443.1
Period,Ordovician,O,#009270,443.1,486.85
Period,Cambrian,Ep,#7FA056,486.85,538.8
Period,Ediacaran,NP3,#FED96A,538.8,635.0
Period,Cryogenian,NP2,#FECC5C,635.0,720.0
Period,Tonian,NP1,#FEBF4E,720.0,1000.0
Period,Stenian,MP3,#FED99A,1000.0,1200.0
Period,Ectasian,MP2,#FDCC8A,1200.0,1400.0
Period,Calymmian,MP1,#FDC07A,1400.0,1600.0
Period,Statherian,PP4,#F875A7,1600.0,1800.0
Period,Orosirian,PP3,#F76898,1800.0,2050.0
Period,Rhyacian,PP2,#F75B89,2050.0,2300.0
Period,Siderian,PP1,#F74F7C,2300.0,2500.0
Epoch,Holocene,Q2,#FEEBD2,0.0,0.0117
Epoch,Pleistocene,Q1,#FFEFAF,0.0117,2.58
Epoch,Pliocene,N2,#FFFF99,2.58,5.333
Epoch,Miocene,N1,#FFFF00,5.333,23.04
Epoch,Oligocene,E3,#FEC07A,23.04,33.9
Epoch,Eocene,E2,#FDB46C,33.9,56.0
