Depth [m],d18O [permil],Age [yr BP]
2.13,-34.73,-36.88
4,-35.9,-33.99
6,-35.4,-30.08
8,-34.67,-26.37
10,-35,-21.83
12,-34.2,-17.33
14,-33.59,-12.41
16,-35.71,-7.62
18,-34.76,-3.06
20,-34.71,2.25
22,-33.51,7.05
24,-34.13,11.79
26,-34.01,17.24
28,-36.39,22.54
30,-35.7,28.97
32,-35.98,34.88
34,-34.55,40.27
36,-34.94,46.68
38,-35.25,53.44
40,-34.96,59.31
42,-35.27,65.1
44,-34.34,71.32
46,-34.31,77.32
48,-35.35,84.1
50,-35.8,90.64
52,-34.61,96.83
54,-35.37,103.41
56,-35.62,110.92
58,-35.07,117.83
60,-34.93,123.27
62,-34.87,130.45
64,-35.44,138.57
66,-34.66,145.06
68,-35.22,152.43
70,-34.59,159.35
72,-35.5,166.21
74,-34.52,174.43
76,-35.05,181.84
78,-36.12,190.23
80,-35.09,197.26
82,-35.16,204.28
84,-35.62,212.7
86,-34.35,219.84
88,-35.94,227.23
90,-35.15,235.16
92,-35.31,243.26
94,-35.89,251.48
96,-35.09,258.78
98,-35.17,266.09
100,-34.66,273.2
102,-34.81,281.33
104,-34.82,290
106,-34.72,297.5
108,-36.22,305
110,-34.88,313.33
112,-35.29,320.33
114,-34.33,328.67
116,-35.26,336.33
118,-34.89,345.33
120,-35.23,353
122,-35.29,361.33
124,-34.9,369
126,-36.1,377
128,-34.75,386
130,-34.83,395.33
132,-35.23,403.5
134,-34.5,411.33
136,-35.14,419.33
138,-35.81,427.5
140,-35.05,437.33
142,-34.88,445.33
144,-34.71,453
146,-35.68,461.33
148,-35.59,470.25
150,-35.08,480
152,-34.57,489.67
154,-35.25,498
156,-34.93,506.5
158,-35.28,515.33
160,-34.62,523
162,-34.84,531
164,-34.38,539.33
166,-34.62,548
168,-35.28,556.5
170,-35.22,564
172,-34.75,572.67
174,-35.28,581
176,-35.99,589
178,-35.1,597.67
180,-35.26,606.33
182,-35.36,614.67
184,-35.11,623.33
186,-34.99,632.33
188,-34.99,640.67
190,-34.89,649.5
192,-35.49,658.5
194,-34.07,666.92
196,-34.95,675.63
198,-35.6,684.33
200,-34.46,693.18
202,-35.05,702.74
204,-35.75,711.1
206,-34.87,720
208,-34.67,730.11
210,-34.14,738.73
212,-35.36,748.89
214,-34.97,758.35
216,-35.12,767.3
218,-35.35,776.71
220,-35.6,786.55
222,-35.6,794.78
224,-34.51,803.78
226,-34.57,812.04
228,-34.27,819.96
230,-34.49,829
232,-35.23,837.53
234,-34.56,845.85
236,-35.12,854.5
238,-34.67,862.48
240,-35.01,872.1
242,-34.82,882.43
244,-35.2,889.73
246,-34.88,898.31
248,-35.03,906.79
250,-35.54,915.04
252,-34.57,924.95
254,-34.55,932.38
256,-34.85,941.04
258,-34.78,949.67
260,-34.26,957.78
262,-34.48,967.74
264,-34.02,975.89
266,-35.53,984.33
268,-34.05,993.33
270,-34.6,1001.88
272,-34.08,1010.55
274,-34.63,1019.07
276,-35.35,1027.61
278,-34.57,1036.84
280,-35.4,1046.32
282,-34.73,1054.83
284,-35.24,1063.67
286,-35.13,1071.85
288,-35.08,1080.85
290,-36.17,1090.13
292,-35.12,1098.18
294,-35.49,1106.36
296,-34.34,1115.06
298,-35.4,1124.27
300,-35.59,1132.32
302,-35.27,1140.29
304,-34.86,1149.85
306,-34.37,1158.18
308,-35.59,1166.38
310,-35.09,1175.47
312,-35.22,1184.09
314,-34.61,1193.3
316,-34.6,1201.32
318,-34.93,1209.57
320,-35.56,1218.12
322,-35.39,1227.41
324,-34.88,1237.1
326,-35.49,1246.76
328,-35.54,1255.57
330,-34.77,1264.17
332,-34.97,1272.4
334,-35.36,1281.11
336,-34.57,1290.15
338,-35.16,1298.46
340,-35.1,1308.57
342,-35.01,1317
344,-34.77,1325.79
346,NaN,1337.1
348,NaN,1347.1
350,NaN,1357.1
352,NaN,1367.1
354,NaN,1377.1
356,NaN,1387.1
358,NaN,1397.1
360,-34.81,1406.54
362,-35.1,1415.68
364,-34.18,1426.15
366,-35.16,1435.96
368,-34.82,1446.55
370,-35.13,1456.63
372,-34.54,1466.59
374,-35.27,1475.08
376,-33.99,1484.23
378,-34.89,1493.3
380,-35.21,1502.8
382,-34.1,1513.27
384,-34.28,1522.19
386,-34.09,1532.56
388,-35.22,1541.9
390,NaN,1551.9
392,-34.8,1561.78
394,NaN,1570.86
396,-34.95,1580.38
398,-34.81,1589.79
400,-34.74,1600.5
402,-34.87,1611.09
404,-35.05,1619.82
406,-34.7,1630.05
408,-34.62,1639.43
410,-34.58,1650.27
412,-34.5,1660.7
414,-34.04,1670.29
416,-34.5,1679.55
418,-35.14,1690.36
420,-34.67,1700.79
422,-35.11,1710.63
424,-35.22,1720.64
426,-35.04,1731.05
428,-35.02,1741.26
430,-34.8,1751
432,-35.01,1762.05
434,-35.9,1773.5
436,-35.07,1784.59
438,-34.97,1793.89
440,-34.92,1804.56
442,-35.08,1813.83
444,-34.45,1822.89
446,-34.47,1832.83
448,-34.98,1843.06
450,-35.21,1853.2
452,-34.67,1863.91
454,-34.44,1873.11
456,-33.93,1882.83
458,-34.68,1891.18
460,-35.63,1901.41
462,-34.68,1910.1
464,-35.17,1919.53
466,-34.53,1929.2
468,-34.98,1939
470,-34.37,1948.65
472,-34.8,1958.3
474,-33.98,1968.17
476,NaN,1977.75
478,-34.19,1987.75
480,-35.13,1996.62
482,-34.81,2007.71
484,-34.48,2018.68
486,-35.06,2030.18
488,-34.19,2039.75
490,-34.5,2050.5
492,-33.58,2060.16
494,-34.8,2069.82
496,-34.51,2079.7
498,-34.36,2089.81
500,-33.93,2100.43
502,-34.41,2110.27
504,-35.04,2120.86
506,-35.13,2132.56
508,-35.16,2143.38
510,-34.84,2153.55
512,-34.96,2163.64
514,-34.42,2173.83
516,-34.91,2184.17
518,-34.5,2194.24
520,-34.84,2203.76
522,-34.59,2214.3
524,-34.08,2224
526,-34.8,2234.16
528,-34.43,2244.15
530,-35.18,2254
532,-35.28,2264.55
534,-35.26,2274.9
536,-34.95,2284.95
538,-34.55,2294.95
540,-34.34,2305.11
542,-35.13,2315.73
544,-34.88,2325.84
546,NaN,2335.63
548,-34.79,2346.2
550,-34.14,2357.07
552,-33.77,2367.58
554,-34.24,2377.45
556,-34.61,2387.61
558,-34.55,2397.63
560,-34.97,2408.1
562,-34.99,2419.07
564,-34.62,2429
566,-35.4,2439.67
568,-35.61,2450.58
570,-34.51,2461.5
572,-34.42,2471.9
574,-34.75,2482.08
576,-34.82,2492.15
578,-35.1,2504.53
580,-34.17,2515.13
582,-35.12,2526
584,-34.48,2536.69
586,-34.33,2548.45
588,-34.54,2559.46
